vehicle_id,route_id,trip_id,latitude,longitude,bearing,speed,timestamp
y3159,83,69384858,42.37810889,-71.10605541,141.0,,2025-07-20 04:45:32
y1947,88,69384958,42.37235,-71.07921,315.0,,2025-07-20 04:45:32
y2037,78,69384254,42.39094,-71.15688,270.0,,2025-07-20 04:45:28
y1902,57,69571596,42.35459265,-71.18030577,103.0,,2025-07-20 04:45:32
y1260,28,68992451,42.30636485,-71.08440622,10.0,,2025-07-20 04:45:31
y3112,120,69980600,42.39198455,-71.01268654,32.0,,2025-07-20 04:45:34
1837,CR-Worcester,CorrectedFairmountSigns-739636-5594,42.34769058227539,-71.23300170898438,82.0,13.4,2025-07-20 04:45:20
G-10249,Green-D,69335522,42.34517,-71.10456,45.0,5.2,2025-07-20 04:45:07
y1677,32,69818235,42.27591532,-71.11978267,188.0,,2025-07-20 04:45:31
y0828,216,69988906,42.26055006,-70.97845657,339.0,,2025-07-20 04:45:28
G-10091,Green-E,69335947,42.36944,-71.07305,305.0,11.1,2025-07-20 04:45:33
R-54845340,Red,NONREV-1580679609,42.3028,-71.05578,5.0,,2025-07-20 04:45:21
y3102,116,69980374,42.38025948,-71.0390714,335.0,,2025-07-20 04:45:30
y1317,742,68992625,42.35361989,-71.05303212,315.0,,2025-07-20 04:45:35
y3136,104,69741694,42.37501,-71.02926,225.0,,2025-07-20 04:45:24
y1740,22,69571717,42.30547,-71.08516,315.0,,2025-07-20 04:45:27
ynk218,Shuttle-Generic,BL-5042985,42.20248889,-71.064411179,252.0,,2025-07-20 04:45:35
O-54845347,Orange,NONREV-1580679559,42.40392,-71.07747,30.0,,2025-07-20 04:41:34
y2031,88,69385001,42.39517765,-71.12177755,18.0,,2025-07-20 04:45:25
y3336,426,69980256,42.44008917,-71.0157978,54.0,,2025-07-20 04:45:34
G-10283,Green-C,ADDED-1582937708,42.33625,-71.14902,225.0,3.3,2025-07-20 04:45:05
R-548438AF,Red,NONREV-1580679596,42.39636,-71.14275,85.0,,2025-07-20 04:38:39
1827,CR-Worcester,CorrectedFairmountSigns-739635-5591,42.24362564086914,-71.69816589355469,261.0,26.8,2025-07-20 04:45:10
y1876,1,69572265,42.35934,-71.09376,315.0,,2025-07-20 04:45:31
y3320,442,69980547,42.46347385,-70.939536789,268.0,,2025-07-20 04:45:31
y2100,104,69741704,42.39034682,-71.03581331,62.0,,2025-07-20 04:45:33
y1872,11,69571090,42.33856,-71.03194,90.0,,2025-07-20 04:45:26
y2034,111,69742623,42.36306414,-71.05697041,229.0,,2025-07-20 04:45:33
G-10255,Green-D,69335488,42.32794,-71.17301,315.0,12.8,2025-07-20 04:45:35
G-10352,Green-E,NONREV-1580679606,42.37604,-71.08343,145.0,5.0,2025-07-20 04:43:11
G-10009,Green-B,69335184,42.341,-71.16742,75.0,1.9,2025-07-20 04:38:11
y2018,101,69742533,42.42218263,-71.09335124,73.0,,2025-07-20 04:45:33
y1817,22,69571716,42.30667676,-71.087114009,311.0,,2025-07-20 04:45:31
G-10356,Green-E,69335940,42.4084,-71.11749,151.0,1.6,2025-07-20 04:45:29
y2019,93,69742330,42.36179,-71.0577,315.0,,2025-07-20 04:45:30
R-548448C4,Red,ADDED-1582937711,42.22504,-71.00384,170.0,,2025-07-20 04:45:15
y1890,57,69571597,42.35272994,-71.12860069,281.0,,2025-07-20 04:45:30
y2059,69,69384712,42.37233787,-71.09017178,282.0,,2025-07-20 04:45:33
y1824,15,69571420,42.33412505,-71.09039507,233.0,,2025-07-20 04:45:33
ynk222,Shuttle-Generic,BL-117294302,42.36278792,-71.0846366,133.0,,2025-07-20 04:44:50
ynk255,Shuttle-Generic,BL-80039384,42.20295177,-71.06461724,168.0,,2025-07-20 04:40:57
B-548454A9,Blue,70064219,42.35956,-71.05162,80.0,,2025-07-20 04:42:54
y3124,108,69742772,42.43465376,-71.02237516,216.0,,2025-07-20 04:45:33
ynk234,Shuttle-Generic,BL-44123456,42.321487849,-71.05468078,261.0,,2025-07-20 04:45:32
y1991,87,69385071,42.39724372,-71.12297969,330.0,,2025-07-20 04:45:33
y3304,116,69980399,42.389324539,-71.037773369,207.0,,2025-07-20 04:45:32
B-5484534E,Blue,70064221,42.39594,-70.99338,30.0,,2025-07-20 04:45:19
y1794,23,69571847,42.299709,-71.074060399,144.0,,2025-07-20 04:45:29
G-10289,Green-D,69335710,42.35188,-71.07085,240.0,,2025-07-20 04:45:05
y1816,66,69572031,42.37535,-71.1193,315.0,,2025-07-20 04:45:17
y1956,109,69741858,42.38384786,-71.07528249,5.0,,2025-07-20 04:45:32
y1795,47,69571392,42.34026941,-71.06303001,13.0,,2025-07-20 04:45:21
1804,CR-Fitchburg,HaverhillRestoredWKND-744485-5447,42.559078216552734,-71.58999633789062,270.0,6.3,2025-07-20 04:44:59
G-10173,Green-C,69335483,42.3518,-71.07081,60.0,,2025-07-20 04:44:33
y3154,110,69742027,42.40932139,-70.99685044,115.0,,2025-07-20 04:45:33
y2058,110,69742107,42.41328255,-71.02443956,291.0,,2025-07-20 04:45:35
y1892,9,69571290,42.349983709,-71.077779969,69.0,,2025-07-20 04:45:21
y1894,60,69570882,42.3218496,-71.17770855,87.0,,2025-07-20 04:45:32
y1925,80,69385265,42.40893,-71.11811,315.0,,2025-07-20 04:45:30
y1863,10,69571539,42.32896057,-71.068637949,330.0,,2025-07-20 04:45:33
G-10256,Mattapan,69332053,42.27,-71.07331,90.0,4.2,2025-07-20 04:45:17
y3156,111,69742654,42.41437758,-71.0319133,332.0,,2025-07-20 04:45:35
y1982,111,69742590,42.365297099,-71.05849387,169.0,,2025-07-20 04:45:31
y1847,57,69571599,42.35220294,-71.12550566,96.0,,2025-07-20 04:45:33
y1201,28,68992450,42.30757765,-71.08362383,31.0,,2025-07-20 04:45:31
